b3_issuer_code;b3_listing_segment;b3_sector;b3_segment;b3_subsector;cnpj;controlling_interest;cvm_code;founding_date;is_b3_listed;is_foreign;is_state_owned;main_activity;name;trade_name;website
MGEL;"";Materiais Básicos;Artefatos de Ferro e Aço;Siderurgia e Metalurgia;61.065.298/0001-02;private;8397;1928-10-01;true;false;false;Produção de Relaminados. Trefilados E Perfilados de Aço. Exceto Arames.;Mangels Industrial S.A.;Mangels;http://www.mangels.com.br
ESTR;"";Consumo Cíclico;Brinquedos e Jogos;Viagens e Lazer;61.082.004/0001-50;private;8427;1944-12-19;true;false;false;Fabricação de Brinquedos E Jogos Recreativos;Manufatura de Brinquedos Estrela S.A.;Estrela;http://www.estrela.com.br
POMO;N2;Bens Industriais;Material Rodoviário;Material de Transporte;88.611.835/0001-29;private;8451;1949-08-06;true;false;false;Indústria E Comércio de ónibus E Carrocerias Para ónibus. Suas Partes. Peças E Componentes;Marcopolo S.A.;Marcopolo;http://www.marcopolo.com.br
MERC;"";Financeiro;Sociedade de Crédito e Financiamento;Intermediários Financeiros;33.040.601/0001-87;private;8540;1972-12-12;true;false;false;Crédito. Financiamento E Investimentos;Mercantil do Brasil Financeira S.A. CFI;Mercantil do Brasil Financeira;http://www.mercantildobrasil.com.br
LEVE;NM;Consumo Cíclico;Automóveis e Motocicletas;Automóveis e Motocicletas;60.476.884/0001-87;private;8575;1950-08-22;true;false;false;Industria E Comércio de Peças E Componentes Para Motores A Combustão;Mahle Metal Leve S.A.;Mahle Metal Leve;http://www.mahle.com.br
MTIG;"";Materiais Básicos;Embalagens;Embalagens;80.227.184/0001-66;private;8605;1962-09-30;true;false;false;Fabrica de Embalagens Metálicas Para Alimentos;Metalgráfica Iguaçu S.A.;Metalgráfica Iguaçu;http://www.metaliguacu.com.br
GOAU;N1;Materiais Básicos;Siderurgia;Siderurgia e Metalurgia;92.690.783/0001-09;private;8656;1939-08-24;true;false;false;Participação E Administração;Metalúrgica Gerdau S.A.;Metalúrgica Gerdau;http://www.gerdau.com
JPSA;N1;Financeiro;Exploração de Imóveis;Exploração de Imóveis;60.543.816/0001-93;private;8672;1946-01-24;true;false;false;"";Jereissati Participações S.A.;Jereissati Participações;http://www.jereissati.com.br
"";"";"";"";"";16.234.171/0001-15;private;8745;1974-12-26;false;"";false;"";METANOR SA METANOL DO NE;METANOR S.A METANOL DO NORDESTE;""
MTSA;"";Bens Industriais;Máquinas e Equipamentos de Construção e Agrícolas;Máquinas e Equipamentos;86.375.425/0001-09;private;8753;1942-01-05;true;false;false;Fabricação de Máquinas E Equipamentos Para A Agricultura E Pecuária. Peças E Acessórios. Exceto Para Irrigação.;METISA - Metalúrgica Timboense S.A.;METISA;http://www.metisa.com.br
