assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker
85.4657;13986;15.9315;11.0444;18.5715;20.6269;49.09;3.0813;2.6433;5.7513;2.3799;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;49.01;3.0763;2.639;5.7419;2.376;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;48.63;3.0524;2.6185;5.6974;2.3576;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;47.12;2.9577;2.5372;5.5205;2.2844;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;45.63;2.8641;2.457;5.3459;2.2122;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;47.85;3.0035;2.5765;5.606;2.3198;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;48.88;3.0681;2.632;5.7267;2.3697;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;49.43;3.1027;2.6616;5.7911;2.3964;1361346696;SUZB3
85.4657;13986;15.9315;11.0444;18.5715;20.6269;48.85;3.0662;2.6304;5.7232;2.3683;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;49.69;5.7187;2.8113;5.4056;2.3451;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;50.45;5.8061;2.8543;5.4883;2.381;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;50.37;5.7969;2.8498;5.4795;2.3772;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;48.9;5.6277;2.7666;5.3196;2.3079;1361346696;SUZB3
91.8959;13986;8.6891;12.8948;17.6751;21.1884;49.33;5.6772;2.7909;5.3664;2.3282;1361346696;SUZB3
